 Row │ Matriz    n      st   it      g           tempo
─────┼─────────────────────────────────────────────────────
   1 │ 1138_bus  1138   0    200303  9.99955e-7  4.22493
   2 │ 662_bus   662    0    5154    9.98463e-7  0.0740008
   3 │ bcsstk06  420    0    59642   9.99309e-7  0.828474
   4 │ bcsstk21  3600   0    55075   9.98378e-7  3.92151
   5 │ bcsstk27  1224   0    64390   9.99913e-7  3.80763
   6 │ bcsstm02  66     0    44      8.6647e-7   6.6524e-5
   7 │ bcsstm21  3600   0    9       8.0342e-7   0.0411753
   8 │ finan512  74752  0    168     8.88523e-7  0.389387
