

        Prob |      n | método |    it |         f |     grad | st |
-------------|--------|--------|-------|-----------|----------|----|
  LUKSAN22LS |    100 |   grad | 10000 |  8.73e+02 | 6.03e-03 |  1 |
             |        |    spg | 10000 |  8.70e+02 | 4.45e-04 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
     MANCINO |    100 |   grad |   140 |  1.37e-20 | 7.61e-08 |  0 |
             |        |    spg |    13 |  1.80e-21 | 4.64e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    MARATOSB |      2 |   grad | 10000 |  9.96e-01 | 1.53e-01 |  1 |
             |        |    spg |    88 | -1.00e+00 | 8.96e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  METHANB8LS |     31 |   grad | 10000 |  1.59e-03 | 9.71e-02 |  1 |
             |        |    spg | 10000 |  2.24e-04 | 3.20e-02 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
  METHANL8LS |     31 |   grad | 10000 |  3.09e+00 | 1.34e+00 |  1 |
             |        |    spg | 10000 |  1.55e+00 | 3.41e-01 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
      MEXHAT |      2 |   grad |  3095 | -4.00e-02 | 9.03e-07 |  0 |
             |        |    spg |    92 | -4.00e-02 | 1.57e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
      MEYER3 |      3 |   grad | 10000 |  6.88e+06 | 5.01e+06 |  1 |
             |        |    spg | 10000 |  5.09e+04 | 1.79e+08 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
     MGH09LS |      4 |   grad | 10000 |  1.33e-03 | 1.53e-04 |  1 |
             |        |    spg |    48 |  1.53e-03 | 9.61e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     MGH10LS |      3 |   grad | 10000 |  1.37e+09 | 9.74e+03 |  1 |
             |        |    spg |    10 |  1.37e+09 | 4.37e-11 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    MGH10SLS |      3 |   grad | 10000 |  1.42e+09 | 3.24e+00 |  1 |
             |        |    spg |   158 |  1.40e+09 | 0.00e+00 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     MGH17LS |      5 |   grad | 10000 |  1.02e+00 | 1.27e-05 |  1 |
             |        |    spg |    40 |  1.10e+00 | 5.17e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
   MISRA1ALS |      2 |   grad | 10000 |  1.95e+01 | 6.67e-02 |  1 |
             |        |    spg |  8093 |  1.25e-01 | 4.27e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
   MISRA1BLS |      2 |   grad | 10000 |  7.32e+00 | 9.33e-01 |  1 |
             |        |    spg |  2521 |  7.55e-02 | 5.32e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
   MISRA1CLS |      2 |   grad |     2 |       NaN |      NaN |  1 |
             |        |    spg |    29 |  4.34e+00 |      NaN |  1 |
-------------|--------|--------|-------|-----------|----------|----|
   MISRA1DLS |      2 |   grad | 10000 |  1.11e+00 | 6.81e-02 |  1 |
             |        |    spg |  4951 |  5.64e-02 | 5.10e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
      MOREBV |   5000 |   grad |  2321 |  2.52e-10 | 1.00e-06 |  0 |
             |        |    spg |   110 |  3.44e-10 | 9.82e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  MUONSINELS |      1 |   grad | 10000 |  5.11e+04 | 6.80e-04 |  1 |
             |        |    spg |    69 |  3.84e+04 | 9.77e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    NELSONLS |      3 |   grad |     9 |  5.44e+01 | 3.20e-14 |  0 |
             |        |    spg | 10000 |  2.88e+01 | 2.30e+13 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    NONDQUAR |   5000 |   grad | 10000 |  1.61e-04 | 2.45e-04 |  1 |
             |        |    spg |  4915 |  1.25e-05 | 9.92e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    OSBORNEA |      5 |   grad | 10000 |  3.80e-04 | 5.35e-02 |  1 |
             |        |    spg | 10000 |  6.67e-05 | 8.47e-04 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    OSBORNEB |     11 |   grad | 10000 |  4.03e-02 | 1.33e-03 |  1 |
             |        |    spg |  1820 |  4.01e-02 | 7.27e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    OSCIPATH |    500 |   grad |    18 |  1.00e+00 | 8.44e-07 |  0 |
             |        |    spg |    12 |  1.00e+00 | 1.53e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    PALMER1C |      8 |   grad | 10000 |  3.95e+04 | 2.79e+03 |  1 |
             |        |    spg | 10000 |  4.99e+00 | 1.10e+03 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    PALMER1D |      7 |   grad | 10000 |  3.01e+04 | 1.24e+04 |  1 |
             |        |    spg | 10000 |  6.53e-01 | 1.18e-04 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    PALMER2C |      8 |   grad | 10000 |  1.38e+03 | 1.66e+02 |  1 |
             |        |    spg | 10000 |  1.34e-01 | 1.44e-02 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    PALMER3C |      8 |   grad | 10000 |  2.65e+02 | 5.65e+01 |  1 |
             |        |    spg | 10000 |  1.38e-01 | 1.12e-02 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    PALMER4C |      8 |   grad | 10000 |  2.51e+02 | 5.38e+01 |  1 |
             |        |    spg | 10000 |  1.58e-01 | 3.74e-03 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    PALMER5C |      6 |   grad |    79 |  2.13e+00 | 9.83e-07 |  0 |
             |        |    spg |    27 |  2.13e+00 | 3.85e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    PALMER5D |      4 |   grad | 10000 |  9.03e+01 | 9.88e-01 |  1 |
             |        |    spg |    91 |  8.73e+01 | 2.47e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    PALMER6C |      8 |   grad | 10000 |  1.81e+02 | 6.75e+01 |  1 |
             |        |    spg | 10000 |  7.93e-02 | 2.47e+00 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    PALMER7C |      8 |   grad | 10000 |  2.40e+02 | 2.20e+02 |  1 |
             |        |    spg | 10000 |  3.59e+00 | 4.31e-02 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    PALMER8C |      8 |   grad | 10000 |  1.04e+02 | 4.05e+01 |  1 |
             |        |    spg | 10000 |  4.61e-01 | 1.19e+01 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
      PARKCH |     15 |   grad |     1 |      -Inf |      NaN |  1 |
             |        |    spg |    90 |  2.03e+03 |      NaN |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    PENALTY1 |   1000 |   grad |  2330 |  9.69e-03 | 9.99e-07 |  0 |
             |        |    spg |  1555 |  9.69e-03 | 7.23e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    PENALTY2 |    200 |   grad | 10000 |  4.71e+13 | 2.60e+01 |  1 |
             |        |    spg |   421 |  4.71e+13 | 6.69e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  POWELLBSLS |      2 |   grad | 10000 |  1.35e-01 | 3.87e-01 |  1 |
             |        |    spg |   405 |  9.10e-10 | 3.89e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    POWELLSG |   5000 |   grad | 10000 |  1.80e-03 | 3.49e-04 |  1 |
             |        |    spg |   134 |  1.30e-06 | 7.95e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  POWELLSQLS |      2 |   grad |    21 |  8.30e-15 | 2.47e-07 |  0 |
             |        |    spg |    11 |  4.80e+01 | 5.32e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
       POWER |  10000 |   grad | 10000 |  1.70e-05 | 1.05e-03 |  1 |
             |        |    spg |  1580 |  7.63e-10 | 5.81e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    POWERSUM |      4 |   grad | 10000 |  3.74e+01 | 2.44e-06 |  1 |
             |        |    spg |     7 |  3.74e+01 | 7.63e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
      PRICE3 |      2 |   grad |   145 |  2.59e-15 | 4.83e-07 |  0 |
             |        |    spg |    25 |  2.56e-17 | 2.02e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
      PRICE4 |      2 |   grad | 10000 |  6.35e-07 | 4.31e-05 |  1 |
             |        |    spg |   103 |  4.76e-09 | 6.73e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
        QING |    100 |   grad |   358 |  2.23e-14 | 8.37e-07 |  0 |
             |        |    spg |    85 |  5.26e-15 | 3.63e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
      QUARTC |   5000 |   grad |  3175 |  7.85e-06 | 1.00e-06 |  0 |
             |        |    spg |    49 |  3.28e-06 | 5.19e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     RAT42LS |      3 |   grad |     1 |  1.82e+04 |      NaN |  1 |
             |        |    spg |  4409 |  8.06e+00 | 3.54e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     RAT43LS |      4 |   grad | 10000 |  1.08e+06 | 4.25e-06 |  1 |
             |        |    spg |    11 |  1.08e+06 | 1.04e-10 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    RECIPELS |      3 |   grad | 10000 |  1.58e-10 | 2.51e-06 |  1 |
             |        |    spg |    50 |  3.75e-10 | 3.41e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     ROSENBR |      2 |   grad | 10000 |  2.71e-10 | 2.11e-05 |  1 |
             |        |    spg |    42 |  6.73e-19 | 2.62e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
   ROSENBRTU |      2 |   grad | 10000 |  9.47e-01 | 1.74e-02 |  1 |
             |        |    spg |  1217 |  1.10e+00 | 1.58e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  ROSZMAN1LS |      4 |   grad | 10000 |  5.12e+00 | 4.67e+01 |  1 |
             |        |    spg |  4492 |  4.98e-04 | 2.95e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
        S308 |      2 |   grad |    15 |  7.73e-01 | 3.13e-07 |  0 |
             |        |    spg |    15 |  7.73e-01 | 5.87e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    SCHMVETT |   5000 |   grad |   165 | -1.50e+04 | 3.60e-07 |  0 |
             |        |    spg |    76 | -1.50e+04 | 7.34e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     SENSORS |    100 |   grad |    40 | -2.11e+03 | 9.18e-07 |  0 |
             |        |    spg |   172 | -2.11e+03 | 6.24e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     SINEVAL |      2 |   grad | 10000 |  1.08e-02 | 1.89e-01 |  1 |
             |        |    spg |    88 |  9.20e-23 | 5.37e-12 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
      SISSER |      2 |   grad |  2066 |  1.76e-09 | 1.00e-06 |  0 |
             |        |    spg |    12 |  5.01e-10 | 5.57e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
       SNAIL |      2 |   grad |     8 |  3.32e-26 | 3.65e-13 |  0 |
             |        |    spg |    69 |  2.72e-20 | 3.00e-10 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    SPARSQUR |  10000 |   grad |   855 |  1.93e-08 | 9.99e-07 |  0 |
             |        |    spg |    30 |  1.10e-08 | 5.86e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     SPIN2LS |    102 |   grad |    14 |  4.07e-15 | 7.79e-07 |  0 |
             |        |    spg |  2234 |  4.24e-11 | 8.70e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    SROSENBR |   5000 |   grad | 10000 |  8.51e-08 | 1.38e-05 |  1 |
             |        |    spg |    36 |  2.08e-11 | 7.30e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
         SSI |      3 |   grad | 10000 |  1.31e-02 | 2.47e-02 |  1 |
             |        |    spg |   715 |  4.59e-06 | 5.05e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     STRATEC |     10 |   grad |     2 |      -Inf |      NaN |  1 |
             |        |    spg |   164 |  2.42e+03 |      NaN |  1 |
-------------|--------|--------|-------|-----------|----------|----|
       STREG |      4 |   grad | 10000 |  1.11e+02 | 1.08e+00 |  1 |
             |        |    spg |   376 |  4.60e-20 | 6.41e-10 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    STRTCHDV |     10 |   grad |  3041 |  7.06e-09 | 1.00e-06 |  0 |
             |        |    spg |    79 |  3.16e-09 | 8.01e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    TESTQUAD |   5000 |   grad | 10000 |  2.61e+03 | 1.44e+01 |  1 |
             |        |    spg | 10000 |  1.40e-01 | 1.02e-01 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
   THURBERLS |      7 |   grad | 10000 |  9.89e+05 | 1.12e+04 |  1 |
             |        |    spg | 10000 |  7.91e+05 | 1.53e+05 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    TOINTGOR |     50 |   grad | 10000 |  1.37e+03 | 3.99e-06 |  1 |
             |        |    spg |   250 |  1.37e+03 | 1.86e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    TOINTGSS |   5000 |   grad |     4 |  1.00e+01 | 3.00e-07 |  0 |
             |        |    spg |    26 |  1.00e+01 | 7.20e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    TOINTPSP |     50 |   grad |   654 |  2.26e+02 | 8.89e-07 |  0 |
             |        |    spg |   311 |  2.26e+02 | 5.14e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    TOINTQOR |     50 |   grad |   147 |  1.18e+03 | 9.96e-07 |  0 |
             |        |    spg |    57 |  1.18e+03 | 9.75e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    TQUARTIC |   5000 |   grad | 10000 |  7.70e-01 | 3.52e-02 |  1 |
             |        |    spg |   645 |  1.41e-07 | 1.51e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     TRIGON1 |     10 |   grad |   579 |  2.46e-13 | 9.89e-07 |  0 |
             |        |    spg |   109 |  7.20e-14 | 5.36e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     TRIGON2 |     10 |   grad |  1622 |  2.79e+00 | 9.86e-07 |  0 |
             |        |    spg |    33 |  2.34e+00 | 6.05e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  VANDANMSLS |     22 |   grad | 10000 |  1.21e+01 | 1.49e-03 |  1 |
             |        |    spg |   913 |  7.81e+00 | 2.31e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
      VARDIM |    200 |   grad |    26 |  2.58e-18 | 6.43e-07 |  0 |
             |        |    spg |     1 |  1.48e-31 | 4.44e-16 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    VIBRBEAM |      8 |   grad | 10000 |  7.91e+02 | 1.60e+06 |  1 |
             |        |    spg | 10000 |  3.28e+02 | 1.90e+04 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
      WATSON |     12 |   grad | 10000 |  6.43e-05 | 1.87e-03 |  1 |
             |        |    spg |  4186 |  1.48e-07 | 9.78e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     WAYSEA1 |      2 |   grad |   543 |  7.94e-14 | 9.48e-07 |  0 |
             |        |    spg |    31 |  4.82e-18 | 3.44e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     WAYSEA2 |      2 |   grad |  2318 |  7.08e-12 | 9.72e-07 |  0 |
             |        |    spg |   141 |  9.07e-05 | 1.88e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
       WOODS |   4000 |   grad |  8575 |  5.82e-10 | 9.89e-07 |  0 |
             |        |    spg |   724 |  1.70e-12 | 2.54e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
       YFITU |      3 |   grad | 10000 |  6.51e+01 | 2.16e+01 |  1 |
             |        |    spg | 10000 |  2.17e-06 | 6.66e+00 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    ZANGWIL2 |      2 |   grad |    28 | -1.82e+01 | 9.83e-07 |  0 |
             |        |    spg |     1 | -1.82e+01 | 0.00e+00 |  0 |
