

        Prob |      n | método |    it |         f |     grad | st |
     COATING |    134 |   grad | 10000 |  1.52e+00 | 5.77e-01 |  1 |
             |        |    spg | 10000 |  5.35e-01 | 3.37e-02 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
  COOLHANSLS |      9 |   grad | 10000 |  4.93e-02 | 1.05e-01 |  1 |
             |        |    spg | 10000 |  3.04e-05 | 1.09e+00 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
        CUBE |      2 |   grad | 10000 |  2.08e-05 | 6.72e-03 |  1 |
             |        |    spg |   198 |  5.05e-14 | 1.13e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  DANIWOODLS |      2 |   grad |     1 |  1.04e+02 | 3.31e-27 |  0 |
             |        |    spg |    22 |  4.32e-03 | 3.89e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
   DANWOODLS |      2 |   grad |     1 |       NaN |      NaN |  1 |
             |        |    spg |     1 |  1.04e+02 |      NaN |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    DENSCHNA |      2 |   grad |    43 |  3.50e-13 | 8.80e-07 |  0 |
             |        |    spg |    14 |  7.98e-19 | 9.68e-10 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DENSCHNB |      2 |   grad |    14 |  9.37e-14 | 5.04e-07 |  0 |
             |        |    spg |     8 |  2.74e-14 | 4.68e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DENSCHNC |      2 |   grad |   143 |  1.83e-01 | 9.46e-07 |  0 |
             |        |    spg |    26 |  7.52e-17 | 6.20e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DENSCHND |      3 |   grad |  2001 |  1.69e-09 | 1.00e-06 |  0 |
             |        |    spg |    55 |  1.86e-08 | 8.15e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DENSCHNE |      3 |   grad |  1505 |  2.30e-15 | 9.55e-08 |  0 |
             |        |    spg |    35 |  1.77e-19 | 8.41e-10 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DENSCHNF |      2 |   grad |    23 |  6.81e-16 | 4.22e-07 |  0 |
             |        |    spg |    12 |  3.56e-22 | 4.76e-10 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     DEVGLA1 |      4 |   grad |     1 |       NaN |      NaN |  1 |
             |        |    spg |    39 |  4.56e+04 |      NaN |  1 |
-------------|--------|--------|-------|-----------|----------|----|
     DEVGLA2 |      5 |   grad |     1 |       NaN |      NaN |  1 |
             |        |    spg |    43 |  1.88e+03 |      NaN |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    DIXMAANA |   3000 |   grad |    10 |  1.00e+00 | 1.50e-07 |  0 |
             |        |    spg |     9 |  1.00e+00 | 7.30e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DIXMAANB |   3000 |   grad |    12 |  1.00e+00 | 5.05e-08 |  0 |
             |        |    spg |     9 |  1.00e+00 | 4.93e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DIXMAANC |   3000 |   grad |    18 |  1.00e+00 | 1.34e-07 |  0 |
             |        |    spg |    11 |  1.00e+00 | 1.18e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DIXMAAND |   3000 |   grad |    16 |  1.00e+00 | 6.54e-07 |  0 |
             |        |    spg |    12 |  1.00e+00 | 4.98e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DIXMAANE |   3000 |   grad |  8808 |  1.00e+00 | 1.00e-06 |  0 |
             |        |    spg |   533 |  1.00e+00 | 7.38e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DIXMAANF |   3000 |   grad | 10000 |  1.00e+00 | 1.24e-05 |  1 |
             |        |    spg |   503 |  1.00e+00 | 2.18e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DIXMAANG |   3000 |   grad |  3898 |  1.00e+00 | 9.89e-07 |  0 |
             |        |    spg |   477 |  1.00e+00 | 9.79e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DIXMAANH |   3000 |   grad |  9925 |  1.00e+00 | 9.99e-07 |  0 |
             |        |    spg |   406 |  1.00e+00 | 8.86e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DIXMAANI |   3000 |   grad | 10000 |  1.00e+00 | 5.80e-04 |  1 |
             |        |    spg | 10000 |  1.00e+00 | 1.39e-06 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    DIXMAANJ |   3000 |   grad |  2150 |  1.18e+00 | 9.95e-07 |  0 |
             |        |    spg |   432 |  1.00e+00 | 9.47e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DIXMAANK |   3000 |   grad |  7843 |  1.00e+00 | 1.00e-06 |  0 |
             |        |    spg |   493 |  1.00e+00 | 9.12e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DIXMAANL |   3000 |   grad |   986 |  2.64e+00 | 9.97e-07 |  0 |
             |        |    spg |   308 |  1.00e+00 | 8.90e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DIXMAANM |   3000 |   grad | 10000 |  1.00e+00 | 3.49e-04 |  1 |
             |        |    spg | 10000 |  1.00e+00 | 2.42e-06 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
    DIXMAANN |   3000 |   grad | 10000 |  1.00e+00 | 6.11e-04 |  1 |
             |        |    spg |  1127 |  1.00e+00 | 9.99e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DIXMAANO |   3000 |   grad | 10000 |  1.00e+00 | 1.12e-05 |  1 |
             |        |    spg |  1826 |  1.00e+00 | 9.72e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DIXMAANP |   3000 |   grad | 10000 |  1.00e+00 | 7.82e-06 |  1 |
             |        |    spg |  1093 |  1.00e+00 | 8.30e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    DIXON3DQ |  10000 |   grad | 10000 |  2.22e-02 | 3.43e-04 |  1 |
             |        |    spg | 10000 |  4.18e-03 | 7.75e-06 |  1 |
-------------|--------|--------|-------|-----------|----------|----|
        DJTL |      2 |   grad | 10000 | -8.95e+03 | 1.86e-02 |  1 |
             |        |    spg |   246 | -8.95e+03 | 4.83e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     DQDRTIC |   5000 |   grad |  1407 |  2.54e-13 | 9.95e-07 |  0 |
             |        |    spg |    26 |  1.20e-13 | 6.93e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
      DQRTIC |   5000 |   grad |  3175 |  7.85e-06 | 1.00e-06 |  0 |
             |        |    spg |    49 |  3.28e-06 | 5.19e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
  ECKERLE4LS |      3 |   grad |   232 |  7.00e-01 | 9.84e-07 |  0 |
             |        |    spg |     3 |  7.00e-01 | 1.57e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     EDENSCH |   2000 |   grad | 10000 |  1.20e+04 | 2.89e-06 |  1 |
             |        |    spg |    41 |  1.20e+04 | 2.88e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
         EG2 |   1000 |   grad | 10000 | -9.99e+02 | 1.23e-05 |  1 |
             |        |    spg |     5 | -9.99e+02 | 7.34e-14 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    EGGCRATE |      2 |   grad |    37 |  9.49e+00 | 8.55e-07 |  0 |
             |        |    spg |     6 |  9.49e+00 | 4.95e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
    ELATVIDU |      2 |   grad |    47 |  5.48e+01 | 9.06e-07 |  0 |
             |        |    spg |    43 |  1.71e+00 | 1.40e-08 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
     ENGVAL2 |      3 |   grad | 10000 |  9.55e-04 | 4.52e-02 |  1 |
             |        |    spg |    65 |  9.77e-13 | 6.88e-07 |  0 |
-------------|--------|--------|-------|-----------|----------|----|
      ENSOLS |      9 |   grad | 10000 |  7.89e+02 | 5.75e-06 |  1 |
             |        |    spg |   101 |  7.89e+02 | 1.66e-07 |  0 |
